"证券代码","证券简称","上市板","上市日期","企业规模","成立日期","注册资本[元]","主营产品类型","所属区县","城市","注册地址","办公地址","员工总数","证监会行业名称","总市值[元]","市值[亿元]","市盈率PE","Wind ESG评级","Wind ESG综合得分","坐标"
"601318.SH","中国平安","主板","2007-03-01T00:00:00+08:00","大型","1988-03-21T00:00:00+08:00","18280241410","财产保险、存贷款业务、健康险、经纪业务、理财保险、旅游保险、汽车保险、少儿保险、投资银行业务、养老保险、医疗保险、资产管理业务、资金信托","福田区","深圳市","广东省深圳市福田区益田路5033号平安金融中心47,48,109,110,111,112层","广东省深圳市福田区益田路5033号平安金融中心47,48,108,109,110,111,112层","355982","金融业","772323717208.799","7723.237172087989","8.22921466827393","AA","8","POINT(114.0505352 22.53591267)"
"000858.SZ","五粮液","主板","1998-04-27T00:00:00+08:00","大型","1998-04-21T00:00:00+08:00","3881608005","白酒","翠屏区","宜宾市","四川省宜宾市翠屏区岷江西路150号","四川省宜宾市翠屏区岷江西路150号","25803","制造业","730130465740.5","7301.304657405","29.350414276123","A","7.27","POINT(104.59178506 28.8026117)"
"601628.SH","中国人寿","主板","2007-01-09T00:00:00+08:00","大型","2003-06-30T00:00:00+08:00","28264705000","个人保险、健康险、理财保险、少儿保险、团体保险、万能保险、养老保险、意外险、资产管理业务","西城区","北京市","北京市西城区金融大街16号","北京市西城区金融大街16号","103262","金融业","658410050308.5","6584.100503085","21.0836162567139","A","7.29","POINT(116.35385615 39.9162779)"
"600900.SH","长江电力","主板","2003-11-18T00:00:00+08:00","大型","2002-11-04T00:00:00+08:00","22741859230","水电","海淀区","北京市","北京市海淀区玉渊潭南路1号B座","北京市西城区金融大街19号富凯大厦B座/北京市海淀区玉渊潭南路1号B座","7707","电力、热力、燃气及水生产和供应业","543985272781.6","5439.852727816","20.4959621429443","A","7.57","POINT(116.32578202 39.90971785)"
"601088.SH","中国神华","主板","2007-10-09T00:00:00+08:00","大型","2004-11-08T00:00:00+08:00","19868519955","火电、煤制品、原煤","东城区","北京市","北京市东城区安定门西滨河路22号","北京市东城区安定门西滨河路22号","77872","采矿业","541302724564.93","5413.0272456493","9.94201946258545","AA","8.31","POINT(116.39315867 39.94876221)"
"600028.SH","中国石化","主板","2001-08-08T00:00:00+08:00","大型","2000-02-25T00:00:00+08:00","121071209646","成品油、氮肥、高分子聚合物、合成纤维、加油站、燃气、润滑油、石油焦、特种纤维、天然气勘探与生产、有机化工原料、原油勘探与生产","朝阳区","北京市","北京市朝阳区朝阳门北大街22号","北京市朝阳区朝阳门北大街22号","385691","采矿业","472363760263.26","4723.6376026326","6.54145765304565","AA","8.42","POINT(116.43000367 39.92365714)"
"601012.SH","隆基绿能","主板","2012-04-11T00:00:00+08:00","大型","2000-02-14T00:00:00+08:00","7581605791","半导体材料","长安区","西安市","陕西省西安市长安区航天中路388号","陕西省西安市西安经济技术开发区尚苑路8369号","49967","制造业","464449170756.66","4644.4917075666","50.2239303588867","A","7.74","POINT(108.96693506 34.16015364)"
"601658.SH","邮储银行","主板","2019-12-10T00:00:00+08:00","大型","2007-03-06T00:00:00+08:00","92383967605","存贷款业务、人民币理财、投资银行业务、银行卡、中间业务","西城区","北京市","北京市西城区金融大街3号","北京市西城区金融大街3号","178252","金融业","437109885088.726","4371.09885088726","5.51211452484131","A","7.05","POINT(116.35297036 39.9207472)"
"600938.SH","中国海油","主板","2022-04-21T00:00:00+08:00","","1999-08-20T00:00:00+08:00","47637455984","","东城区","北京市","香港花园道1号中银大厦65层","中国北京市东城区朝阳门北大街25号","19086","采矿业","427920920299.82","4279.2092029982","7.97717618942261","","2.81","POINT(114.16222211 22.27950097)"
"601888.SH","中国中免","主板","2009-10-15T00:00:00+08:00","大型","2008-03-28T00:00:00+08:00","1952475544","旅客航运、旅游景点、综合批发市场","东城区","北京市","北京市东城区东直门外小街甲2号A座8层","北京市东城区东直门外小街甲2号A座","14720","租赁和商务服务业","419450321117.52","4194.5032111752","44.772834777832","BBB","6.25","POINT(116.44000924 39.94226576)"
"000333.SZ","美的集团","主板","2013-09-18T00:00:00+08:00","大型","2000-04-07T00:00:00+08:00","6998021902","厨房器具、厨房小家电、空调器具、清洁器具、取暖器具、熨烫器具、照明器具、制冷器具","顺德区","佛山市","广东省佛山市顺德区北滘镇美的大道6号美的总部大楼","广东省佛山市顺德区北滘镇美的大道6号美的总部大楼","165799","制造业","391329384759.84","3913.2938475984","13.3637113571167","A","7.53","POINT(113.2145093 22.93755732)"
"603288.SH","海天味业","主板","2014-02-11T00:00:00+08:00","大型","2000-04-08T00:00:00+08:00","4633833787","调味品","禅城区","佛山市","广东省佛山市文沙路16号","广东省佛山市文沙路16号","6678","制造业","388500624702.08","3885.0062470208","59.3451080322266","A","7.62","POINT(113.11629264 23.04965961)"
"601166.SH","兴业银行","主板","2007-02-05T00:00:00+08:00","大型","1988-08-22T00:00:00+09:00","20774238108","存贷款业务、电子银行业务、国际业务、机构业务、人民币理财、外汇理财、银行卡、证券业务、中间业务","台江区","福州市","福建省福州市台江区江滨中大道398号兴业银行大厦","福建省福州市台江区江滨中大道398号兴业银行大厦","62537","金融业","370404665465.64","3704.0466546564003","4.28684282302856","A","7.41","POINT(119.34812624 26.05089262)"
"300760.SZ","迈瑞医疗","创业板","2018-10-16T00:00:00+08:00","大型","1999-01-25T00:00:00+08:00","1212441394","诊断治疗设备","南山区","深圳市","广东省深圳市南山区高新技术产业园区科技南十二路迈瑞大厦1-4层","广东省深圳市南山区高新技术产业园区科技南十二路迈瑞大厦1-4层","14684","制造业","366157300988","3661.57300988","43.633846282959","AA","8.04","POINT(113.95074316 22.54135683)"
"600809.SH","山西汾酒","主板","1994-01-06T00:00:00+08:00","大型","1985-12-25T00:00:00+08:00","1220073422","白酒、保健酒、啤酒、葡萄酒","汾阳市","汾阳市","山西省汾阳市杏花村","山西省汾阳市杏花村","13474","制造业","350307480924.64","3503.0748092464","51.2020874023438","A","7.09","POINT(111.90361189 37.33429921)"
"000568.SZ","泸州老窖","主板","1994-05-09T00:00:00+08:00","大型","1995-05-03T00:00:00+08:00","1471615076","白酒","江阳区","泸州市","四川省泸州市国窖广场","四川省泸州市南光路泸州老窖营销网络指挥中心","3434","制造业","340678890094","3406.78890094","39.3191719055176","BB","5.9","POINT(105.45052996 28.88761042)"
"601328.SH","交通银行","主板","2007-05-15T00:00:00+08:00","大型","1987-03-30T00:00:00+08:00","74262726645","存贷款业务、机构业务、人民币理财、投资银行业务、托管业务、外汇理财、银行卡、证券业务、中间业务","浦东新区","上海市","上海市浦东新区银城中路188号","上海市浦东新区银城中路188号","90238","金融业","324209560745.223","3242.09560745223","3.88128352165222","BBB","6.39","POINT(121.49926321 31.24154259)"
"601728.SH","中国电信","主板","2021-08-20T00:00:00+08:00","大型","2002-09-10T00:00:00+08:00","91507138699","互联网服务","西城区","北京市","北京市西城区金融大街31号","北京市西城区金融大街31号","278922","信息传输、软件和信息技术服务业","322130390529.35","3221.3039052934996","12.7671508789063","A","6.91","POINT(116.35228212 39.90994981)"
"002714.SZ","牧原股份","主板","2014-01-28T00:00:00+08:00","大型","2000-07-13T00:00:00+08:00","5322110491","禽畜养殖","内乡县","南阳市","河南省南阳市内乡县灌涨镇水田村","河南省南阳市卧龙区龙升工业园区","137520","农、林、牧、渔业","308948514002.55","3089.4851400254997","-58.9649887084961","A","7.72","POINT(111.97355859 33.05692727)"
"002415.SZ","海康威视","主板","2010-05-28T00:00:00+08:00","大型","2001-11-30T00:00:00+08:00","9433208719","半导体分立器件、存储设备、电子测试和测量仪器、服务器与工作站、光学设备、智能商用设备","滨江区","杭州市","浙江省杭州市滨江区阡陌路555号","浙江省杭州市滨江区物联网街518号","52752","制造业","308277260936.92","3082.7726093692","18.2249240875244","A","7.46","POINT(120.21622996 30.2124483)"
"300059.SZ","东方财富","创业板","2010-03-19T00:00:00+08:00","大型","2005-01-20T00:00:00+08:00","13214162544","广告代理、网站、专业咨询服务","嘉定区","上海市","上海市嘉定区宝安公路2999号1幢","上海市徐汇区宛平南路88号东方财富大厦","5696","金融业","296525807487.36","2965.2580748736","33.6447868347168","BB","5.68","POINT(121.28656995 31.33468496)"
"603259.SH","药明康德","主板","2018-05-08T00:00:00+08:00","大型","2000-12-01T00:00:00+08:00","2956794221","专业咨询服务","滨湖区","无锡市","江苏省无锡市滨湖区马山五号桥","上海市浦东新区外高桥保税区富特中路288号","34912","科学研究和技术服务业","279715429454.53","2797.1542945453","40.3690299987793","AA","8.5","POINT(120.09907016 31.56357675)"
"600030.SH","中信证券","主板","2003-01-06T00:00:00+08:00","大型","1995-10-25T00:00:00+08:00","14820546829","经纪业务、投资银行业务、资产管理业务","福田区","深圳市","广东省深圳市福田区中心三路8号卓越时代广场(二期)北座","广东省深圳市福田区中心三路8号中信证券大厦/北京市朝阳区亮马桥路48号中信证券大厦","23696","金融业","278498181284.902","2784.9818128490197","12.6746816635132","A","7.27","POINT(114.05295069 22.53720877)"
"600309.SH","万华化学","主板","2001-01-05T00:00:00+08:00","大型","1998-12-16T00:00:00+08:00","3139746626","高分子聚合物、胶粘剂、有机化工原料","福山区","烟台市","山东省烟台市经济技术开发区重庆大街59号","山东省烟台市经济技术开发区三亚路3号","19692","制造业","267663399866.5","2676.633998665","11.4379358291626","BBB","6.85","POINT(121.06840193 37.68483749)"
"002304.SZ","洋河股份","主板","2009-11-06T00:00:00+08:00","大型","2002-12-27T00:00:00+08:00","1506988000","白酒","宿城区","宿迁市","江苏省宿迁市洋河中大街118号","江苏省宿迁市洋河中大街118号","17956","制造业","258282673320","2582.8267332","29.9270782470703","A","7.47","POINT(118.37834835 33.78422883)"
"300999.SZ","金龙鱼","创业板","2020-10-15T00:00:00+08:00","大型","2005-06-17T00:00:00+08:00","5421591536","其他农产品","浦东新区","上海市","上海市浦东新区中国(上海)自由贸易试验区博成路1379号15层","上海市浦东新区中国(上海)自由贸易试验区博成路1379号15层","34389","制造业","253405188392.64","2534.0518839264","94.7021636962891","A","7.6","POINT(121.4817829 31.18590637)"
"600438.SH","通威股份","主板","2004-03-02T00:00:00+08:00","大型","1995-12-08T00:00:00+08:00","4501548184","半导体太阳能光伏、高分子聚合物、禽畜养殖、肉制品、兽药、水产品、饲料、无机化工原料、有机化工原料","武侯区","成都市","四川省成都市高新区天府大道中段588号","四川省成都市高新区天府大道中段588号","32224","制造业","249475800357.28","2494.7580035728","19.8705596923828","AA","7.97","POINT(104.06554876 30.5528666)"
"002352.SZ","顺丰控股","主板","2010-02-05T00:00:00+08:00","大型","2003-05-22T00:00:00+08:00","4895202373","航空物流","宝安区","深圳市","广东省深圳市宝安区福永大道303号万福大厦8楼801室","广东省深圳市南山区科技南一路深投控创智天地大厦B座","177129","交通运输、仓储和邮政业","249361608880.62","2493.6160888062","39.7057723999023","AA","8.28","POINT(113.81589779 22.67632167)"
"000001.SZ","平安银行","主板","1991-04-03T00:00:00+08:00","大型","1987-12-22T00:00:00+08:00","19405918198","存贷款业务、国际业务、机构业务、结算业务、人民币理财、外汇理财、银行卡、证券业务","罗湖区","深圳市","广东省深圳市罗湖区深南东路5047号","广东省深圳市罗湖区深南东路5047号,中国广东省深圳市福田区益田路5023号平安金融中心B座","40651","金融业","248201693752.42","2482.0169375242003","6.35534620285034","A","7.38","POINT(114.10251594 22.54314762)"
"601633.SH","长城汽车","主板","2011-09-28T00:00:00+08:00","大型","2001-06-12T00:00:00+08:00","9205440743","轿车、轻型卡车","莲池区","保定市","河北省保定市朝阳南大街2266号","河北省保定市朝阳南大街2266号","77934","制造业","241104190373.44","2411.0419037344","46.1879234313965","A","7.14","POINT(115.45838582 38.80947392)"
"601816.SH","京沪高铁","主板","2020-01-16T00:00:00+08:00","小型","2008-01-09T00:00:00+08:00","49106484611","长途客运","海淀区","北京市","北京市海淀区北蜂窝路5号院1号写字楼第三,四层","北京市海淀区北蜂窝路5号院1号写字楼第三,四层","69","交通运输、仓储和邮政业","236693255825.02","2366.9325582501997","50.2094650268555","A","7.05","POINT(116.31559038 39.89842966)"
"600887.SH","伊利股份","主板","1996-03-12T00:00:00+08:00","大型","1993-06-04T00:00:00+08:00","6399345318","冷冻食品、乳制品、饲料","土默特左旗","呼和浩特市","内蒙古自治区呼和浩特市金山开发区金山大街1号","内蒙古自治区呼和浩特市金山开发区金山大街1号","61598","制造业","233028766724.38","2330.2876672438","24.8081169128418","AA","8.04","POINT(111.42684611 40.73973999)"
"600276.SH","恒瑞医药","主板","2000-10-18T00:00:00+08:00","大型","1997-04-28T00:00:00+08:00","6379002274","激素及调节内分泌功能类制剂、解热镇痛制剂、抗生素类抗感染制剂、抗肿瘤制剂、水、电解质及酸碱平衡调节制剂、血液系统用制剂、循环系统用制剂","连云区","连云港市","江苏省连云港市经济技术开发区黄河路38号","江苏省连云港市经济技术开发区昆仑山路7号","24491","制造业","231111252387.02","2311.1125238701998","54.116569519043","BBB","6.23","POINT(119.34293153 34.7012841)"
"601899.SH","紫金矿业","主板","2008-04-25T00:00:00+08:00","大型","2000-09-06T00:00:00+08:00","26329312240","白银、合金、黑色金属矿产、黄金、耐火材料、铜、无机化工原料、有色金属矿产、重有色金属","上杭县","龙岩市","福建省龙岩市上杭县紫金大道1号","福建省上杭县紫金大道1号,福建省厦门市思明区环岛东路1811号中航紫金广场B塔","43876","采矿业","225873441057.88","2258.7344105788","12.0276336669922","AA","8.29","POINT(116.42321737 25.06494697)"
"300015.SZ","爱尔眼科","创业板","2009-10-30T00:00:00+08:00","大型","2003-01-24T00:00:00+08:00","7043057850","手术与注射器械、医用耗材、医院","天心区","长沙市","湖南省长沙市天心区芙蓉中路二段198号新世纪大厦3楼","湖南省长沙市天心区芙蓉南路一段188号爱尔大厦","26970","卫生和社会工作","225870865249.5","2258.708652495","92.1950149536133","A","7.66","POINT(112.97995894 28.17915338)"
"600690.SH","海尔智家","主板","1993-11-19T00:00:00+08:00","大型","1994-03-31T00:00:00+08:00","9448705076","厨房器具、电脑整机、空调器具、清洁器具、视频产品、移动通讯设备与配件、制冷器具","崂山区","青岛市","山东省青岛市崂山区海尔工业园内","山东省青岛市崂山区海尔信息产业园内","104874","制造业","223868004776.569","2238.68004776569","17.6418342590332","AA","8.36","POINT(120.41749958 36.13507281)"
"002475.SZ","立讯精密","主板","2010-09-15T00:00:00+08:00","大型","2004-05-24T00:00:00+08:00","7085454576","电子元器件","宝安区","深圳市","广东省深圳市宝安区沙井街道蚝一西部三洋新工业区A栋2层","广东省东莞市清溪镇北环路313号","228152","制造业","218657128215.36","2186.5712821536","29.0600166320801","A","8.06","POINT(113.82526076 22.73828174)"
"601668.SH","中国建筑","主板","2009-07-29T00:00:00+08:00","大型","2007-12-10T00:00:00+08:00","41940858844","公路建设、民用建筑、住宅楼盘、专业咨询服务","海淀区","北京市","北京市海淀区三里河路15号","北京市朝阳区安定路5号院3号楼中建财富国际中心","368327","建筑业","215576014458.16","2155.7601445816","4.0433521270752","A","7.11","POINT(116.32708872 39.92806258)"
"600000.SH","浦发银行","主板","1999-11-10T00:00:00+08:00","大型","1992-10-19T00:00:00+08:00","29352173289","存贷款业务、国际业务、机构业务、结算业务、托管业务、外汇理财、银行卡、证券业务、中间业务","黄浦区","上海市","上海市黄浦区中山东一路12号","上海市黄浦区中山东一路12号","63361","金融业","215444951941.26","2154.4495194126002","4.01245880126953","A","7.16","POINT(121.485402 31.23801893)"
"002142.SZ","宁波银行","主板","2007-07-19T00:00:00+08:00","中型","1997-04-10T00:00:00+08:00","6603590792","存贷款业务、电子银行业务、国际业务、结算业务、人民币理财、银行卡、证券业务、中间业务、资产管理业务","鄞州区","宁波市","浙江省宁波市鄞州区宁东路345号","浙江省宁波市鄞州区宁东路345号","24177","金融业","212107336239.04","2121.0733623904002","10.3310766220093","BBB","6.01","POINT(121.60972754 29.86809201)"
"601919.SH","中远海控","主板","2007-06-26T00:00:00+08:00","大型","2007-01-05T00:00:00+08:00","16069329007","港口代理、集装箱航运、集装箱码头、集装箱租赁","东丽区","天津市","天津市天津空港经济区中心大道与东七道交口远航商务中心12号楼二层","上海市东大名路658号8楼","30980","交通运输、仓储和邮政业","208855874092.49","2088.5587409249","2.18404769897461","A","7.43","POINT(117.39990263 39.14275342)"
"600048.SH","保利发展","主板","2006-07-31T00:00:00+08:00","大型","1992-09-14T00:00:00+08:00","11970283692","商业地产、住宅楼盘","海珠区","广州市","广东省广州市海珠区阅江中路832号保利发展广场53-59层","广东省广州市海珠区阅江中路832号保利发展广场53-59层","61854","房地产业","206128285176.24","2061.2828517624","7.41171741485596","A","7.97","POINT(113.35729239 23.1067114)"
"601998.SH","中信银行","主板","2007-04-27T00:00:00+08:00","大型","1987-04-20T00:00:00+09:00","48934843657","存贷款业务、电子银行业务、机构业务、外汇理财、银行卡、证券业务、中间业务","朝阳区","北京市","北京市朝阳区光华路10号院1号楼6-30层,32-42层","北京市朝阳区光华路10号院1号楼6-30层,32-42层","59258","金融业","203447180444.816","2034.4718044481601","4.03595113754272","A","6.83","POINT(116.46269791 39.91170384)"
"002812.SZ","恩捷股份","主板","2016-09-14T00:00:00+08:00","大型","2006-04-05T00:00:00+08:00","892409048","塑料包装制品、纸包装制品","红塔区","玉溪市","云南省玉溪市高新区抚仙路125号","云南省玉溪市高新区抚仙路125号","5954","制造业","199426649956.56","1994.2664995656","62.2965888977051","A","7.34","POINT(102.53011251 24.32762944)"
"000002.SZ","万科A","主板","1991-01-29T00:00:00+08:00","大型","1984-05-30T00:00:00+08:00","11625383375","住宅楼盘","盐田区","深圳市","广东省深圳市盐田区大梅沙环梅路33号万科中心","广东省深圳市盐田区大梅沙环梅路33号万科中心","139494","房地产业","198064388013.449","1980.64388013449","9.1112117767334","AA","8.56","POINT(114.29980299 22.60071762)"
"601138.SH","工业富联","主板","2018-06-08T00:00:00+08:00","大型","2015-03-06T00:00:00+08:00","19865104011","传输设备、存储设备、电脑配件、专用设备与零部件","龙华区","深圳市","广东省深圳市龙华区龙华街道东环二路二号富士康科技园C1栋二层","广东省深圳市龙华区龙华街道东环二路二号富士康科技园C1栋二层","191970","制造业","197459133869.34","1974.5913386934","9.83506774902344","A","7.22","POINT(114.04343106 22.65161069)"
"600406.SH","国电南瑞","主板","2003-10-16T00:00:00+08:00","大型","2001-02-28T00:00:00+08:00","6694630847","行业专用软件、继电保护及调度自动化","江宁区","南京市","江苏省南京市江宁经济技术开发区诚信大道19号2幢","江苏省南京市江宁经济技术开发区诚信大道19号","9551","信息传输、软件和信息技术服务业","193943455637.59","1939.4345563759","33.3219604492188","A","7.43","POINT(118.77119727 31.90222178)"
"601319.SH","中国人保","主板","2018-11-16T00:00:00+08:00","大型","1996-08-22T00:00:00+08:00","44223990583","财产保险、个人保险、汽车保险、万能保险","西城区","北京市","北京市西城区西长安街88号1至13层","中国北京市西城区西长安街88号","184364","金融业","189149352494.6","1891.493524946","10.4974384307861","A","7.7","POINT(116.36911941 39.90512176)"
"601225.SH","陕西煤业","主板","2014-01-28T00:00:00+08:00","大型","2008-12-23T00:00:00+08:00","9695000000","原煤","雁塔区","西安市","陕西省西安市高新区锦业一路2号","陕西省西安市高新区锦业一路2号","38297","采矿业","188179950000","1881.7995","8.02040672302246","A","7.57","POINT(108.88149201 34.19249408)"
"000651.SZ","格力电器","主板","1996-11-18T00:00:00+08:00","大型","1989-12-13T00:00:00+08:00","5631405741","空调器具、输电设备","香洲区","珠海市","广东省珠海市横琴新区汇通三路108号办公608","广东省珠海市前山金鸡西路","81884","制造业","188145265806.81","1881.4526580681","7.96410799026489","BBB","6.43","POINT(113.5331147 22.16173454)"
"300014.SZ","亿纬锂能","创业板","2009-10-30T00:00:00+08:00","大型","2001-12-24T00:00:00+08:00","1898788667","低压电器类","惠城区","惠州市","广东省惠州市仲恺高新区惠风七路38号","广东省惠州市仲恺高新区惠风七路38号","14826","制造业","187600320299.6","1876.003202996","67.4791488647461","BBB","6.59","POINT(114.33585916 23.04610414)"
"002466.SZ","天齐锂业","主板","2010-08-31T00:00:00+08:00","大型","1995-10-16T00:00:00+08:00","1641221583","无机化工原料","射洪市","射洪市","四川省遂宁市射洪县太和镇城北","四川省成都市高新区高朋东路10号","1773","制造业","186997234377.453","1869.97234377453","34.4660377502441","A","7.09","POINT(105.38293759 30.87949516)"
"600104.SH","上汽集团","主板","1997-11-25T00:00:00+08:00","大型","1984-04-16T00:00:00+08:00","11683461365","传动设备、行驶底盘设备、轿车、客车、摩托车、轻型卡车、重型卡车与专用车","浦东新区","上海市","上海市浦东新区中国(上海)自由贸易试验区松涛路563号1号楼509室","上海市静安区威海路489号","207246","制造业","186935381840","1869.3538184","8.05679893493652","A","7.45","POINT(121.5817287 31.20773562)"
"600436.SH","片仔癀","主板","2003-06-16T00:00:00+08:00","大型","1999-12-28T00:00:00+08:00","603317210","动物类中药制剂、解热镇痛制剂、糖类、植物类中药制剂","芗城区","漳州市","福建省漳州市芗城区琥珀路1号","福建省漳州市芗城区琥珀路1号","2591","制造业","184621099432.1","1846.210994321","70.1897888183594","A","8.1","POINT(117.63717566 24.49249431)"
"601601.SH","中国太保","主板","2007-12-25T00:00:00+08:00","大型","1991-05-13T00:00:00+09:00","9620341455","财产保险、健康险、理财保险、汽车保险、少儿保险、团体保险、养老保险、意外险","黄浦区","上海市","上海市黄浦区中山南路1号","上海市黄浦区中山南路1号","107000","金融业","181452548157.9","1814.525481579","8.32919502258301","A","7.71","POINT(121.49670121 31.22676467)"
"002459.SZ","晶澳科技","主板","2010-08-10T00:00:00+08:00","大型","2000-10-20T00:00:00+08:00","2353023648","半导体材料、半导体太阳能光伏、电子元器件","宁晋县","邢台市","河北省宁晋县新兴路123号","北京市丰台区汽车博物馆东路1号院诺德中心8号楼","29638","制造业","178547434410.24","1785.4743441024","67.8398513793945","A","7.49","POINT(114.89740512 37.64289182)"
"601066.SH","中信建投","主板","2018-06-20T00:00:00+08:00","大型","2005-11-02T00:00:00+08:00","7756694797","资产管理业务","朝阳区","北京市","北京市朝阳区安立路66号4号楼","北京市东城区朝内大街188号","11778","金融业","178369374396.808","1783.69374396808","20.2042045593262","A","7.61","POINT(116.40226408 40.00281911)"
"300274.SZ","阳光电源","创业板","2011-11-02T00:00:00+08:00","大型","2007-07-11T00:00:00+08:00","1485190984","变电设备","肥西县","合肥市","安徽省合肥市高新区习友路1699号","安徽省合肥市高新区习友路1699号","6726","制造业","177851620334","1778.51620334","110.679885864258","AA","8.11","POINT(117.18186023 31.81540022)"
"600905.SH","三峡能源","主板","2021-06-10T00:00:00+08:00","大型","1985-09-05T00:00:00+08:00","28620510000","变电设备、风电","通州区","北京市","北京市通州区贡院街1号院1号楼二层206-23室","北京市通州区新华北街156号保利大都汇T1号楼","4420","电力、热力、燃气及水生产和供应业","177733367100","1777.333671","26.4526634216309","BB","5.6","POINT(116.65056605 39.90885449)"
"002129.SZ","TCL中环","主板","2007-04-20T00:00:00+08:00","大型","1988-12-21T00:00:00+08:00","3231733699","半导体材料、半导体分立器件、电子元器件","西青区","天津市","天津市新技术产业园区华苑产业区(环外)海泰东路12号","天津市新技术产业园区华苑产业区(环外)海泰东路12号","13371","制造业","177163641379.18","1771.6364137918","36.9175453186035","A","7.96","POINT(117.09533354 39.07727707)"
"002460.SZ","赣锋锂业","主板","2010-08-10T00:00:00+08:00","大型","2000-03-02T00:00:00+08:00","2015776799","轻有色金属、无机化工原料、有机化工原料","渝水区","新余市","江西省新余市经济开发区龙腾路","江西省新余市经济开发区龙腾路","7870","制造业","175138702920.426","1751.38702920426","22.599401473999","A","7.21","POINT(114.98734419 27.83844902)"
